loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_disc,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim
3099,Kepler-618,b,Kepler-618 b,Transit,3.59576964,0.00000882,-0.00000882,0,,,,,,,,,,,,,,,,,0.232,0.070,-0.037,0,19h04m59.96s,286.249817,+48d03m39.4s,48.060940,1115.00,333.34,-118.31,0,14.827,,0,5860.00,67.09,-79.66,0,1.05,0.07,-0.05,0,1.08,0.33,-0.11,0,2016-05-10,,,,,2016,78.479449,17.698714,,,,
3100,Kepler-619,b,Kepler-619 b,Transit,5.40427220,0.00000555,-0.00000555,0,,,,,,,,,,,,,,,,,0.282,0.058,-0.028,0,19h23m23.77s,290.849058,+48d24m57.7s,48.416016,1111.00,223.44,-113.12,0,14.697,,0,5980.00,106.44,-113.14,0,1.09,0.07,-0.06,0,1.11,0.23,-0.11,0,2016-05-10,,,,,2016,80.050066,15.008760,,,,
3101,Kepler-619,c,Kepler-619 c,Transit,1.20846503,0.00000167,-0.00000167,0,,,,,,,,,,,,,,,,,0.151,0.035,-0.015,0,19h23m23.77s,290.849058,+48d24m57.7s,48.416016,1111.00,223.44,-113.12,0,14.697,,0,5980.00,106.44,-113.14,0,1.09,0.07,-0.06,0,1.11,0.23,-0.11,0,2016-05-10,,,,,2016,80.050066,15.008760,,,,
3102,Kepler-62,b,Kepler-62 b,Transit,5.71493200,0.00000900,-0.00000900,0,0.055300,0.000500,-0.000500,0,,,,,89.200,0.400,-0.400,0,0.03000,,,1,0.117,0.004,-0.004,0,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368.00,,,0,13.725,,0,4925.00,70.00,-70.00,0,0.69,0.02,-0.02,0,0.64,0.02,-0.02,0,2014-05-14,750,41,-41,0,2013,75.037665,18.695414,,,,
3103,Kepler-62,c,Kepler-62 c,Transit,12.44170000,0.00010000,-0.00010000,0,0.092900,0.000900,-0.000900,0,,,,,89.700,0.200,-0.200,0,0.01300,,,1,0.048,0.003,-0.003,0,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368.00,,,0,13.725,,0,4925.00,70.00,-70.00,0,0.69,0.02,-0.02,0,0.64,0.02,-0.02,0,2014-05-14,578,31,-31,0,2013,75.037665,18.695414,,,,
3104,Kepler-62,d,Kepler-62 d,Transit,18.16406000,0.00002000,-0.00002000,0,0.120000,0.001000,-0.001000,0,,,,,89.700,0.300,-0.300,0,0.04400,,,1,0.174,0.006,-0.006,0,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368.00,,,0,13.725,,0,4925.00,70.00,-70.00,0,0.69,0.02,-0.02,0,0.64,0.02,-0.02,0,2014-05-14,510,28,-28,0,2013,75.037665,18.695414,,,,
3105,Kepler-62,e,Kepler-62 e,Transit,122.38740000,0.00080000,-0.00080000,0,0.427000,0.004000,-0.004000,0,,,,,89.980,0.020,-0.020,0,0.11300,,,1,0.144,0.004,-0.004,0,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368.00,,,0,13.725,,0,4925.00,70.00,-70.00,0,0.69,0.02,-0.02,0,0.64,0.02,-0.02,0,2014-05-14,270,15,-15,0,2013,75.037665,18.695414,,,,
3106,Kepler-62,f,Kepler-62 f,Transit,267.29100000,0.00500000,-0.00500000,0,0.718000,0.007000,-0.007000,0,,,,,89.900,0.030,-0.030,0,0.11000,,,1,0.126,0.006,-0.006,0,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368.00,,,0,13.725,,0,4925.00,70.00,-70.00,0,0.69,0.02,-0.02,0,0.64,0.02,-0.02,0,2014-05-14,208,11,-11,0,2013,75.037665,18.695414,,,,
3107,Kepler-620,b,Kepler-620 b,Transit,12.91375431,0.00004951,-0.00004951,0,,,,,,,,,,,,,,,,,0.296,0.109,-0.062,0,19h24m38.25s,291.159391,+51d20m05.5s,51.334866,1241.00,458.38,-167.77,0,14.647,,0,6155.00,120.88,-147.72,0,1.15,0.15,-0.08,0,1.22,0.45,-0.16,0,2016-05-10,,,,,2016,82.903772,16.008037,,,,
3108,Kepler-621,b,Kepler-621 b,Transit,2.62811375,0.00000177,-0.00000177,0,,,,,,,,,,,,,,,,,0.205,0.006,-0.017,0,19h23m42.55s,290.927286,+39d54m50.9s,39.914145,389.00,14.24,-15.58,0,14.915,,0,4521.00,73.87,-51.47,0,0.72,0.02,-0.03,0,0.68,0.02,-0.02,0,2016-05-10,,,,,2016,72.166819,11.348455,,,,
3109,Kepler-622,b,Kepler-622 b,Transit,14.28226676,0.00002663,-0.00002663,0,,,,,,,,,,,,,,,,,0.190,0.025,-0.014,0,18h57m54.83s,284.478472,+40d55m59.2s,40.933110,259.00,12.80,-11.36,0,14.672,,0,4201.00,46.67,-36.96,0,0.64,0.03,-0.03,0,0.61,0.02,-0.02,0,2016-05-10,,,,,2016,71.064812,16.245618,,,,
